Loan Details,,,,,,,,,,Loan Details,,,,,,,,,,,,Coborrower Details ,,,,,,,,,,,,Guarantor-1 Details,,,,,,,,,,,,Guarantor-2 Details,,,,,,,,,,,,Case Details,,,,,
Sl. No,Society No,Loan Account No as per your software,Loan Type,Total Loan Amount,Loan Date,Loan Balance Amount,No of Months Due,Loan Balance Amount AS on Date,Loan Status,Name,DOB,Gender,PAN ,Aadhaar,Mobile,Address,PIN Code,City,Taluka,Dist.,State,Name,DOB,Gender,PAN,Aadhaar,Mobile,Address,PIN Code,City,Taluka,Dist.,State,Name,DOB,Gender,PAN,Aadhaar,Mobile,Address,PIN Code,City,Taluka,Dist.,State,Name,DOB,Gender,PAN,Aadhaar,Mobile,Address,PIN Code,City,Taluka,Dist.,State,Case Filed On,Recovery Order Number,Recovery Order Date,Recovery Order Authority,Recovery Order Amount,Upload Date
1,432,914010000649606,PERSONAL,500000,05/04/2022,"2,479",2,27-06-2023,ACTIVE,SOMARAM ,25-06-1976,Male,BHMFT5861H,153225684923,8971364153,"WN 04, GANDHI CIRCLE",583227,KUKANURU,YALABURGA,KOPPAL,KARNATAKA,SANGAMESH,26-01-1974,Male,GNJUT5823J,521675988852,9536214587,"WN 3, HOSPET CHIKKABENAKAL ",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,MALLESH,05-10-2021,Male,BHTHD5264H,998866523612,9965235874,"WN 14, MAITRI COLONY, HOSALLI ",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,,,,,,,,583227,,,,,,,,,,27-06-2023
2,432,914010000640728,HOUSING," 1,00,000 ",04/10/2022,"50,000",4,27-06-2023,ACTIVE,MAHEBOOB PASHA,24-03-1986,Male,NJTSH2465U,153264889523,9743612122,"HOSALLI, GANGAVATHI",583227,KUSTAGI,KUSTAGI,KOPPAL,KARNATAKA,SRINIVAS,12-06-1992,Male,UHRGU6524Y,231562355523,9532000142,KILLA AREA WN 10,583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,VENKATESH,05-02-2022,Male,GNHYJ8524H,885222223621,9986523651,"MAHEBBO NAGAR, GANGAVATHI",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,,,,,,,,583227,,,,,14-06-2020,HNAYTHDHG82223,19-06-2023,GANGAVATHI CIVIL COURT,35000,27-06-2023
3,432,914010000631850,PERSONAL," 60,000 ",04/01/2020,"15,000",3,27-06-2023,ACTIVE,SHRAVANI Y,15-04-1992,Female,YJDVY5284R,532266845962,8495059113,"WN 15, SITARAMA PURAM",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,VENKATESH G,14-06-1995,Male,TSYHU8542U,655633224855,9241189290,"WN 05, NEAR PATANJALI STORE, BASAVANNA CIRCLE ",583227,KANAKAGIRI,KANAKAGIRI,KOPPAL,KARNATAKA,ESHAPPA,05-07-1975,Male,HNTSN2462R,523485695523,7975301962,"WN 01, 2ND CROSS, JAYANAGARA, BADAVANE",583227,GANGAVATHI,KOPPAL,KOPPAL,KARNATAKA,,,,,,,,583227,,,,,20-08-2022,KJHNDKD2323KBD,15-06-2023,GANGAVATHI CIVIL COURT,55000,27-06-2023
4,432,914010000622972,HOUSING," 1,50,000 ",05/10/2022,"15,000",2,27-06-2023,ACTIVE,VENKATESH GUNNA,14-06-1995,Male,TSYHU8542U,655633224855,9241189291,BASAVANNA CIRCLE,583227,KANAKAGIRI,KANAKAGIRI,KOPPAL,KARNATAKA,CHANDRU,24-03-1982,Male,THUSI5523E,625326577778,9482313394,"WN 16, SAI NAGAR, ANEGUNDI ROAD",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,MAHMAD AKBAR,05-10-2021,Male,NJAYH5726U,623514251125,9986147895,"WN 26, HOSALLI MAIN ROAD",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,,,,,,,,583227,,,,,,,,,,27-06-2023
5,432,914010000614094,EDUCATION," 15,000 ",05/02/2022,"1,000",0,27-06-2023,ACTIVE,DURGAPRASADA,06-09-1956,Male,THUDT5231Y,254232653323,9935142789,KILLA AREA,583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,MAHABOOB ALI,26-10-1986,Male,AGMFG1254T,864295634862,9739613785,"WN 10, NEAR CBS TEMPLE, BUSTAND ROAD",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,USHA,03-04-1988,Female,JIEHA5874I,125236245955,8970176376,"WN 24, NEAR BUSTAND, BASAPATTANA",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,,,,,,,,583227,,,,,,,,,,27-06-2023
2,432,914010000605216,EDUCATION," 40,000 ",05/11/2020,"1,199",3,27-06-2023,ACTIVE,MAHMAD AKBAR,20-06-1976,Male,NJAYH5726U,623514251125,9986147895,"WN 26, HOSALLI MAIN ROAD",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,RAJABAKSHAR,15-03-1995,Male,THDBY2544T,152344585521,9535373726,"H NO 225, WN 15, NEAR DURGAMMA TEMPLE",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,SOMASHEKHARA,,Male,BHEGY5244Y,346125964251,9620659507,"#25/25, WN 15, SRINIDHI NILAYA, BASAPATTANA",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,,,,,,,,,,,,,14-06-2020,HNAYTHDHG82223,19-06-2023,GANGAVATHI CIVIL COURT,35000,27-06-2023
4,432,914010000596338,GOLD ," 55,000 ",05/03/2021,908,6,27-06-2023,ACTIVE,RAJABAKSHAR,15-03-1995,Male,THDBY2544T,152344585521,9535373726,"H NO 225, WN 15, NEAR DURGAMMA TEMPLE",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,SRIDEVI,12-06-1972,Female,ADBHT8544R,235444125995,7019684602,"WN 15, BRUNDAVANA COLONY",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,B MAHEBOOB PASHA,,Male,RGHUD5241U,123421562355,9865235699,"WN 09, VENDARA VADI, VALMIKI CIRCLE",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,,,,,,,,,,,,,,,,,,27-06-2023
6,432,914010000587460,VECHICLE," 50,000 ",05/10/2021,577,4,27-06-2023,ACTIVE,SURESH GOTUR,23-12-1982,Male,TNJUY5222H,253666548955,8970356518,"#2/21/226, WN 10, DWARAKA NAGAR",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,MALLESH,05-12-1969,Male,GNHSU5246Y,532655475893,8317499131,"H NO 320, 2ND CROSS, MEHABOOB NAGAR",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,SHARANAPPA,,Male,BEHCT5297U,326589999566,9965234852,"WN 08, NEAR AXIS BANK, CBS CIRCLE",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,,,,,,,,,,,,,23-08-2022,KJHNDKD2323,15-06-2023,GANGAVATHI CIVIL COURT,50000,27-06-2023
8,432,914010000578582,BUSINES," 50,000 ",11/11/2021,"3,638",0,27-06-2023,ACTIVE,SRIDEVI,12-06-1972,Female,ADBHT8544R,235444125995,7019684602,"WN 15, BRUNDAVANA COLONY",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,RAJESHWARI,16-08-1986,Male,FBKSY5721F,523615789995,8151891348,"5-3-224/1, WN 16, NEAR GANGAMMA TEMPLE",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,MALLESH,,Male,CBEGU8542R,235566998822,9108974833,"#25/223, WN 14, 5TH CROSS, BENDARAWADI",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,ASHIF MAKHANDAR,24-04-1982,Male,ABHND5844K,235411115222,9730090797,"#2/665/52 WN 15, BOLASHANKARA VILLAGE",,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,,,,,,27-06-2023
10,432,914010000569704,BUSINES," 95,000 ",05/04/2022,"14,211",2,27-06-2023,ACTIVE,ROHITHKUMAR THAMMINEEDI,19-04-1995,Male,EHCBY7599Y,536255847896,9743955616,"#51/2-24, SAROJA NAGAR, NEAR BUSTAND",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,SANTOSH,26-01-1974,Male,NJSTH5316R,526351448952,9739080525,"WN 23, HOSPET ROAD, CHIKKABENAKAL ",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,SHAMSHUDDIN,,Male,NSACY6249Q,965423568523,9743955616,"WN 24, DOLLORS COLONY, HOSALLI ROAD",583227,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,BASAVARAJ HIREMATH,15/17/1994,Male,NJDNU5612E,235262114789,9900919121,"H NO 253, WN 07, BASAPATTANA",,GANGAVATHI,GANGAVATHI,KOPPAL,KARNATAKA,,,,,,27-06-2023
